Date,Sales,MonthName
2014-07-01,8240050,Jul
2014-07-02,7708595,Jul
2014-07-03,7204662,Jul
2014-07-04,6518718,Jul
2014-07-05,5377184,Jul
2014-07-06,241423,Jul
2014-07-07,6059587,Jul
2014-07-08,5119383,Jul
2014-07-09,4959489,Jul
2014-07-10,5729302,Jul
2014-07-11,5791635,Jul
2014-07-12,5329624,Jul
2014-07-13,268130,Jul
2014-07-14,8607714,Jul
2014-07-15,7684994,Jul
2014-07-16,7177840,Jul
2014-07-17,6837176,Jul
2014-07-18,6647315,Jul
2014-07-19,4689269,Jul
2014-07-20,248092,Jul
2014-07-21,5690785,Jul
2014-07-22,5274595,Jul
2014-07-23,5068787,Jul
2014-07-24,5179026,Jul
2014-07-25,5493418,Jul
2014-07-26,4887412,Jul
2014-07-27,244638,Jul
2014-07-28,8536879,Jul
2014-07-29,7323566,Jul
2014-07-30,7468663,Jul
2014-07-31,8284756,Jul
2014-08-01,7544719,Aug
2014-08-02,5300445,Aug
2014-08-03,273058,Aug
2014-08-04,9062750,Aug
2014-08-05,7530345,Aug
2014-08-06,6709611,Aug
2014-08-07,6772684,Aug
2014-08-08,6571862,Aug
2014-08-09,4938926,Aug
2014-08-10,249646,Aug
2014-08-11,5850906,Aug
2014-08-12,5281785,Aug
2014-08-13,5149918,Aug
2014-08-14,5395023,Aug
2014-08-15,5595129,Aug
2014-08-16,5021534,Aug
2014-08-17,255808,Aug
2014-08-18,9250961,Aug
2014-08-19,7698449,Aug
2014-08-20,7022798,Aug
2014-08-21,6616202,Aug
2014-08-22,6638319,Aug
2014-08-23,4958030,Aug
2014-08-24,248837,Aug
2014-08-25,5750763,Aug
2014-08-26,5056366,Aug
2014-08-27,5167298,Aug
2014-08-28,5355611,Aug
2014-08-29,6562758,Aug
2014-08-30,5643050,Aug
2014-08-31,274884,Aug
2014-09-01,9737203,Sep
2014-09-02,7854744,Sep
2014-09-03,7170145,Sep
2014-09-04,6799830,Sep
2014-09-05,6908744,Sep
2014-09-06,5010762,Sep
2014-09-07,228115,Sep
2014-09-08,5655302,Sep
2014-09-09,5259862,Sep
2014-09-10,5220667,Sep
2014-09-11,5288519,Sep
2014-09-12,5479788,Sep
2014-09-13,5134569,Sep
2014-09-14,243543,Sep
2014-09-15,8724338,Sep
2014-09-16,7191134,Sep
2014-09-17,6513743,Sep
2014-09-18,6397477,Sep
2014-09-19,6550530,Sep
2014-09-20,4915671,Sep
2014-09-21,242302,Sep
2014-09-22,5277645,Sep
2014-09-23,4977122,Sep
2014-09-24,4805992,Sep
2014-09-25,4969583,Sep
2014-09-26,5320736,Sep
2014-09-27,4975386,Sep
2014-09-28,220642,Sep
2014-09-29,8548286,Sep
2014-09-30,8893788,Sep
