Date,Sales,MonthName
2014-10-01,7702334,Oct
2014-10-02,8155792,Oct
2014-10-03,307988,Oct
2014-10-04,6426083,Oct
2014-10-05,225796,Oct
2014-10-06,9028634,Oct
2014-10-07,7332784,Oct
2014-10-08,6869767,Oct
2014-10-09,6816808,Oct
2014-10-10,7047404,Oct
2014-10-11,5190193,Oct
2014-10-12,240423,Oct
2014-10-13,5445980,Oct
2014-10-14,5213744,Oct
2014-10-15,5110401,Oct
2014-10-16,5179446,Oct
2014-10-17,5449686,Oct
2014-10-18,4945733,Oct
2014-10-19,204991,Oct
2014-10-20,8078830,Oct
2014-10-21,6677374,Oct
2014-10-22,6129832,Oct
2014-10-23,6463607,Oct
2014-10-24,6523289,Oct
2014-10-25,4894704,Oct
2014-10-26,219359,Oct
2014-10-27,5508341,Oct
2014-10-28,5163755,Oct
2014-10-29,5285015,Oct
2014-10-30,6271893,Oct
2014-10-31,6106412,Oct
2014-11-01,3522395,Nov
2014-11-02,213741,Nov
2014-11-03,9953793,Nov
2014-11-04,8181287,Nov
2014-11-05,7493001,Nov
2014-11-06,7184058,Nov
2014-11-07,7298281,Nov
2014-11-08,5629423,Nov
2014-11-09,177774,Nov
2014-11-10,8095306,Nov
2014-11-11,7083145,Nov
2014-11-12,6686356,Nov
2014-11-13,6750180,Nov
2014-11-14,7064885,Nov
2014-11-15,5576429,Nov
2014-11-16,203453,Nov
2014-11-17,5849735,Nov
2014-11-18,5367537,Nov
2014-11-19,4888765,Nov
2014-11-20,5575878,Nov
2014-11-21,5816514,Nov
2014-11-22,5522528,Nov
2014-11-23,198298,Nov
2014-11-24,9020315,Nov
2014-11-25,7868758,Nov
2014-11-26,7518283,Nov
2014-11-27,7867510,Nov
2014-11-28,9172722,Nov
2014-11-29,7305547,Nov
2014-11-30,242056,Nov
2014-12-01,10276971,Dec
2014-12-02,8843822,Dec
2014-12-03,8258019,Dec
2014-12-04,8554042,Dec
2014-12-05,9801856,Dec
2014-12-06,6479401,Dec
2014-12-07,196469,Dec
2014-12-08,6560015,Dec
2014-12-09,6329729,Dec
2014-12-10,5909802,Dec
2014-12-11,6156944,Dec
2014-12-12,6501211,Dec
2014-12-13,6779226,Dec
2014-12-14,218670,Dec
2014-12-15,12133381,Dec
2014-12-16,10621060,Dec
2014-12-17,9483386,Dec
2014-12-18,9808212,Dec
2014-12-19,9518489,Dec
2014-12-20,7956411,Dec
2014-12-21,259248,Dec
2014-12-22,11007641,Dec
2014-12-23,10712124,Dec
2014-12-24,4612716,Dec
2014-12-25,155386,Dec
2014-12-26,205238,Dec
2014-12-27,5710292,Dec
2014-12-28,218071,Dec
2014-12-29,7291426,Dec
2014-12-30,7665743,Dec
2014-12-31,3895591,Dec
